Material Group,Material Category,DSNY Diversion Summary Category,Aggregate Percent,Refuse Percent,"MGP (Metal, Glass, Plastic) Percent",Paper Percent,Organics Percent,"Generator (Aggregate, Residential, Schools, NYCHA, Litter Baskets)","Residential Strata (Citywide, HDHI, HDLI, HDMI, LDHI, LDLI, LDMI, MDHI, MDLI, MDMI)","Period (Annual, Season 1, Season 2)"
Plastic,Film: Oversize Items,Other (Non-Divertable),-,0.3%,-,-,-,Litter Baskets,Citywide,Annual
Plastic,Film: Other #2/#4 Polyethylene Bags,Other (Non-Divertable),-,0.4%,-,-,-,Litter Baskets,Citywide,Annual
Plastic,Film: Other Non-Polyethylene/ Contaminated,Other (Non-Divertable),-,1.4%,-,-,-,Litter Baskets,Citywide,Annual
Plastic,Film: DSNY Compostable Plastic Bags,Other (Non-Divertable),-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
Plastic,Single-Use Plastics,Designated MGP,-,1.6%,-,-,-,Litter Baskets,Citywide,Annual
Plastic,Appliances: Plastic,Designated MGP,-,0.2%,-,-,-,Litter Baskets,Citywide,Annual
Plastic,Bulk/Rigid: Plastic,Designated MGP,-,0.2%,-,-,-,Litter Baskets,Citywide,Annual
Plastic,Bulk/Rigid: Plastic Toys/ Housewares,Designated MGP,-,0.2%,-,-,-,Litter Baskets,Citywide,Annual
Plastic,Bulk/Rigid: Other Durable,Designated MGP,-,0.2%,-,-,-,Litter Baskets,Citywide,Annual
Plastic,Other Plastics Materials not Elsewhere Classified,Designated MGP,-,0.5%,-,-,-,Litter Baskets,Citywide,Annual
Glass,Clear Container Glass,Designated MGP,-,2.3%,-,-,-,Litter Baskets,Citywide,Annual
Glass,Green Container Glass,Designated MGP,-,1.0%,-,-,-,Litter Baskets,Citywide,Annual
Glass,Brown Container Glass,Designated MGP,-,0.7%,-,-,-,Litter Baskets,Citywide,Annual
Glass,Other Color Container Glass,Designated MGP,-,0.1%,-,-,-,Litter Baskets,Citywide,Annual
Glass,Mixed Cullet,Designated MGP,-,0.6%,-,-,-,Litter Baskets,Citywide,Annual
Glass,Other Glass,Designated MGP,-,0.4%,-,-,-,Litter Baskets,Citywide,Annual
Metal,Aluminum Cans & Bottles,Designated MGP,-,0.6%,-,-,-,Litter Baskets,Citywide,Annual
Metal,Aluminum Foil/Containers,Designated MGP,-,0.8%,-,-,-,Litter Baskets,Citywide,Annual
Metal,Other Aluminum,Designated MGP,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
Metal,Other Non-Ferrous,Designated MGP,-,0.4%,-,-,-,Litter Baskets,Citywide,Annual
Metal,Steel/Tin Food Cans,Designated MGP,-,0.5%,-,-,-,Litter Baskets,Citywide,Annual
Metal,Empty Aerosol Cans,Designated MGP,-,0.1%,-,-,-,Litter Baskets,Citywide,Annual
Metal,Other Ferrous,Designated MGP,-,1.9%,-,-,-,Litter Baskets,Citywide,Annual
Metal,Mixed Metals,Designated MGP,-,1.0%,-,-,-,Litter Baskets,Citywide,Annual
Metal,Appliances: Ferrous,Designated MGP,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
Metal,Appliances: Non-Ferrous,Designated MGP,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Yard Waste,Organics Suitable for Composting,-,8.1%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Food: Loose,Organics Suitable for Composting,-,12.1%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Food: Intact Packaging,Organics Suitable for Composting,-,1.3%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Food: Open Packaging,Organics Suitable for Composting,-,3.5%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Food: Liquid,Organics Suitable for Composting,-,1.4%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Non-C&D Wood,Other (Non-Divertable),-,0.5%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Textiles: Non-Clothing,Textiles,-,2.0%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Textiles: Woven Bags,Textiles,-,0.4%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Textiles: Clothing - Stretchy Fabric,Textiles,-,0.7%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Textiles: Clothing - Non-Stretchy,Textiles,-,1.3%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Shoes/Rubber/Leather,Textiles,-,0.8%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Carpet/ Upholstery: Broadloom Carpet,Other (Non-Divertable),-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Carpet/ Upholstery: Tile Carpet,Other (Non-Divertable),-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Carpet/ Upholstery: Other Carpet,Other (Non-Divertable),-,0.2%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Carpet/ Upholstery: Spring Mattresses And Boxsprings,Other (Non-Divertable),-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Carpet/ Upholstery: Other Upholtery,Other (Non-Divertable),-,0.3%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Disposable Diapers & Sanitary Products,Other (Non-Divertable),-,1.9%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Animal By-Products,Other (Non-Divertable),-,3.1%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Garden Hoses,Other (Non-Divertable),-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Fines,Other (Non-Divertable),-,3.4%,-,-,-,Litter Baskets,Citywide,Annual
Organics,Miscellaneous Organics,Other (Non-Divertable),-,1.5%,-,-,-,Litter Baskets,Citywide,Annual
Electronics,Audio/Visual Equipment (TV Peripherals - Covered),E-Waste,-,0.2%,-,-,-,Litter Baskets,Citywide,Annual
Electronics,Audio/Visual Equipment (Non-Covered),E-Waste,-,0.3%,-,-,-,Litter Baskets,Citywide,Annual
Electronics,Computer Monitors,E-Waste,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
Electronics,Televisions,E-Waste,-,0.1%,-,-,-,Litter Baskets,Citywide,Annual
Electronics,Other Computer Equipment,E-Waste,-,0.1%,-,-,-,Litter Baskets,Citywide,Annual
C&D,"Untreated Dimension Lumber, Pallets, Crates",C & D,-,1.0%,-,-,-,Litter Baskets,Citywide,Annual
C&D,Treated/Contaminated/ Composite Wood,C & D,-,0.6%,-,-,-,Litter Baskets,Citywide,Annual
C&D,Other C&D Debris Not Elsewhere Classified,C & D,-,1.8%,-,-,-,Litter Baskets,Citywide,Annual
Miscellaneous,Miscellaneous Inorganics,Other (Non-Divertable),-,1.7%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Pesticides/Herbicides/Rodenticides,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Oil Filters,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Antifreeze,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Wet-Cell Batteries,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,E-Mobility Batteries,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Vape Pens,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Rechargeable Batteries,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Other Dry-Cell Batteries,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Water-Based Adhesives/Glues,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Latex Paint,HHW,-,0.1%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Oil-Based Paint/Solvent,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Fluorescent Tubes/CFLs,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Mercury-Laden Wastes,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,"Compressed Gas Cylinders, Fire Extinguishers",HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Home Medical Products,HHW,-,0.2%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Pharmaceuticals,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
HHW,Other Potentially Harmful Wastes,HHW,-,0.0%,-,-,-,Litter Baskets,Citywide,Annual
Paper,Newspaper,Designated Paper,-,0.4%,-,-,-,NYCHA,Citywide,Annual
Paper,Plain OCC/Kraft Paper,Designated Paper,-,3.3%,-,-,-,NYCHA,Citywide,Annual
Paper,High Grade Paper,Designated Paper,-,0.9%,-,-,-,NYCHA,Citywide,Annual
Paper,Mixed Low Grade Paper,Designated Paper,-,7.7%,-,-,-,NYCHA,Citywide,Annual
Paper,Compostable: Containers & Packaging,Organics Suitable for Composting,-,0.3%,-,-,-,NYCHA,Citywide,Annual
Paper,Compostable: Other Soiled Paper/Waxed OCC/Kraft,Organics Suitable for Composting,-,13.0%,-,-,-,NYCHA,Citywide,Annual
Paper,Other Non-recyclable Paper,Other (Non-Divertable),-,1.4%,-,-,-,NYCHA,Citywide,Annual
Paper,Beverage Cartons & Aseptic Boxes,Designated MGP,-,0.5%,-,-,-,NYCHA,Citywide,Annual
Paper,Shredded Paper,Designated Paper,-,0.8%,-,-,-,NYCHA,Citywide,Annual
Plastic,#1 PET Bottles - Clear & Green,Designated MGP,-,2.4%,-,-,-,NYCHA,Citywide,Annual
Plastic,#1 PET Bottles - All Other Colors,Designated MGP,-,0.1%,-,-,-,NYCHA,Citywide,Annual
Plastic,#2 HDPE Natural Bottles,Designated MGP,-,0.3%,-,-,-,NYCHA,Citywide,Annual
Plastic,#2 HDPE Colored Bottles,Designated MGP,-,0.5%,-,-,-,NYCHA,Citywide,Annual
Plastic,#3-#7 & Unlabeled Bottles,Designated MGP,-,0.1%,-,-,-,NYCHA,Citywide,Annual
Plastic,Thermoforms,Designated MGP,-,1.4%,-,-,-,NYCHA,Citywide,Annual
Plastic,Other PVC,Designated MGP,-,0.0%,-,-,-,NYCHA,Citywide,Annual
Plastic,Tubs & Lids,Designated MGP,-,1.1%,-,-,-,NYCHA,Citywide,Annual
Plastic,#6 Expanded Polystyrene Containers & Packaging (EPS),Other (Non-Divertable),-,0.3%,-,-,-,NYCHA,Citywide,Annual
Plastic,#1-#7 Other Rigid Containers/Packaging,Designated MGP,-,0.1%,-,-,-,NYCHA,Citywide,Annual
Plastic,Film: Retail Bags & Sleeves,Other (Non-Divertable),-,0.7%,-,-,-,NYCHA,Citywide,Annual
Plastic,Film: Garbage Bags,Other (Non-Divertable),-,4.3%,-,-,-,NYCHA,Citywide,Annual
Plastic,Film: Non-Woven Reusable Plastic Bags,Other (Non-Divertable),-,0.0%,-,-,-,NYCHA,Citywide,Annual
Plastic,Film: Pouches,Other (Non-Divertable),-,0.0%,-,-,-,NYCHA,Citywide,Annual
Plastic,Film: Oversize Items,Other (Non-Divertable),-,0.2%,-,-,-,NYCHA,Citywide,Annual
Plastic,Film: Other #2/#4 Polyethylene Bags,Other (Non-Divertable),-,0.2%,-,-,-,NYCHA,Citywide,Annual
Plastic,Film: Other Non-Polyethylene/ Contaminated,Other (Non-Divertable),-,2.2%,-,-,-,NYCHA,Citywide,Annual
Plastic,Film: DSNY Compostable Plastic Bags,Other (Non-Divertable),-,0.1%,-,-,-,NYCHA,Citywide,Annual
Plastic,Single-Use Plastics,Designated MGP,-,0.7%,-,-,-,NYCHA,Citywide,Annual
Plastic,Appliances: Plastic,Designated MGP,-,0.1%,-,-,-,NYCHA,Citywide,Annual
Plastic,Bulk/Rigid: Plastic,Designated MGP,-,0.0%,-,-,-,NYCHA,Citywide,Annual
Plastic,Bulk/Rigid: Plastic Toys/ Housewares,Designated MGP,-,0.2%,-,-,-,NYCHA,Citywide,Annual
Plastic,Bulk/Rigid: Other Durable,Designated MGP,-,0.3%,-,-,-,NYCHA,Citywide,Annual
Plastic,Other Plastics Materials not Elsewhere Classified,Designated MGP,-,1.1%,-,-,-,NYCHA,Citywide,Annual
Glass,Clear Container Glass,Designated MGP,-,1.4%,-,-,-,NYCHA,Citywide,Annual
Glass,Green Container Glass,Designated MGP,-,0.3%,-,-,-,NYCHA,Citywide,Annual
Glass,Brown Container Glass,Designated MGP,-,0.2%,-,-,-,NYCHA,Citywide,Annual
Glass,Other Color Container Glass,Designated MGP,-,0.0%,-,-,-,NYCHA,Citywide,Annual
Glass,Mixed Cullet,Designated MGP,-,0.9%,-,-,-,NYCHA,Citywide,Annual
Glass,Other Glass,Designated MGP,-,0.3%,-,-,-,NYCHA,Citywide,Annual
Metal,Aluminum Cans & Bottles,Designated MGP,-,0.6%,-,-,-,NYCHA,Citywide,Annual
Metal,Aluminum Foil/Containers,Designated MGP,-,0.8%,-,-,-,NYCHA,Citywide,Annual
Metal,Other Aluminum,Designated MGP,-,0.2%,-,-,-,NYCHA,Citywide,Annual
Metal,Other Non-Ferrous,Designated MGP,-,0.1%,-,-,-,NYCHA,Citywide,Annual
Metal,Steel/Tin Food Cans,Designated MGP,-,0.8%,-,-,-,NYCHA,Citywide,Annual
Metal,Empty Aerosol Cans,Designated MGP,-,0.2%,-,-,-,NYCHA,Citywide,Annual
Metal,Other Ferrous,Designated MGP,-,1.0%,-,-,-,NYCHA,Citywide,Annual
Metal,Mixed Metals,Designated MGP,-,0.4%,-,-,-,NYCHA,Citywide,Annual
Metal,Appliances: Ferrous,Designated MGP,-,0.1%,-,-,-,NYCHA,Citywide,Annual
Metal,Appliances: Non-Ferrous,Designated MGP,-,0.0%,-,-,-,NYCHA,Citywide,Annual
Organics,Yard Waste,Organics Suitable for Composting,-,1.2%,-,-,-,NYCHA,Citywide,Annual
Organics,Food: Loose,Organics Suitable for Composting,-,14.0%,-,-,-,NYCHA,Citywide,Annual
Organics,Food: Intact Packaging,Organics Suitable for Composting,-,1.9%,-,-,-,NYCHA,Citywide,Annual
Organics,Food: Open Packaging,Organics Suitable for Composting,-,3.2%,-,-,-,NYCHA,Citywide,Annual
Organics,Food: Liquid,Organics Suitable for Composting,-,0.9%,-,-,-,NYCHA,Citywide,Annual
Organics,Non-C&D Wood,Other (Non-Divertable),-,0.3%,-,-,-,NYCHA,Citywide,Annual
Organics,Textiles: Non-Clothing,Textiles,-,1.5%,-,-,-,NYCHA,Citywide,Annual
Organics,Textiles: Woven Bags,Textiles,-,0.5%,-,-,-,NYCHA,Citywide,Annual
Organics,Textiles: Clothing - Stretchy Fabric,Textiles,-,0.8%,-,-,-,NYCHA,Citywide,Annual
Organics,Textiles: Clothing - Non-Stretchy,Textiles,-,1.8%,-,-,-,NYCHA,Citywide,Annual
Organics,Shoes/Rubber/Leather,Textiles,-,0.8%,-,-,-,NYCHA,Citywide,Annual
Organics,Carpet/ Upholstery: Broadloom Carpet,Other (Non-Divertable),-,0.0%,-,-,-,NYCHA,Citywide,Annual
Organics,Carpet/ Upholstery: Tile Carpet,Other (Non-Divertable),-,0.0%,-,-,-,NYCHA,Citywide,Annual
Organics,Carpet/ Upholstery: Other Carpet,Other (Non-Divertable),-,0.4%,-,-,-,NYCHA,Citywide,Annual
Organics,Carpet/ Upholstery: Spring Mattresses And Boxsprings,Other (Non-Divertable),-,0.1%,-,-,-,NYCHA,Citywide,Annual
Organics,Carpet/ Upholstery: Other Upholtery,Other (Non-Divertable),-,0.0%,-,-,-,NYCHA,Citywide,Annual
Organics,Disposable Diapers & Sanitary Products,Other (Non-Divertable),-,8.5%,-,-,-,NYCHA,Citywide,Annual
Organics,Animal By-Products,Other (Non-Divertable),-,1.1%,-,-,-,NYCHA,Citywide,Annual
Organics,Garden Hoses,Other (Non-Divertable),-,0.0%,-,-,-,NYCHA,Citywide,Annual
Organics,Fines,Other (Non-Divertable),-,3.7%,-,-,-,NYCHA,Citywide,Annual
Organics,Miscellaneous Organics,Other (Non-Divertable),-,1.7%,-,-,-,NYCHA,Citywide,Annual
Electronics,Audio/Visual Equipment (TV Peripherals - Covered),E-Waste,-,0.4%,-,-,-,NYCHA,Citywide,Annual
Electronics,Audio/Visual Equipment (Non-Covered),E-Waste,-,0.3%,-,-,-,NYCHA,Citywide,Annual
Electronics,Computer Monitors,E-Waste,-,0.0%,-,-,-,NYCHA,Citywide,Annual
Electronics,Televisions,E-Waste,-,0.0%,-,-,-,NYCHA,Citywide,Annual
Electronics,Other Computer Equipment,E-Waste,-,0.3%,-,-,-,NYCHA,Citywide,Annual
C&D,"Untreated Dimension Lumber, Pallets, Crates",C & D,-,0.2%,-,-,-,NYCHA,Citywide,Annual
C&D,Treated/Contaminated/ Composite Wood,C & D,-,1.4%,-,-,-,NYCHA,Citywide,Annual
C&D,Other C&D Debris Not Elsewhere Classified,C & D,-,0.9%,-,-,-,NYCHA,Citywide,Annual
Miscellaneous,Miscellaneous Inorganics,Other (Non-Divertable),-,1.8%,-,-,-,NYCHA,Citywide,Annual
HHW,Pesticides/Herbicides/Rodenticides,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
HHW,Oil Filters,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
HHW,Antifreeze,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
HHW,Wet-Cell Batteries,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
HHW,E-Mobility Batteries,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
HHW,Vape Pens,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
HHW,Rechargeable Batteries,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
HHW,Other Dry-Cell Batteries,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
HHW,Water-Based Adhesives/Glues,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
HHW,Latex Paint,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
HHW,Mercury-Laden Wastes,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
HHW,"Compressed Gas Cylinders, Fire Extinguishers",HHW,-,0.1%,-,-,-,NYCHA,Citywide,Annual
HHW,Home Medical Products,HHW,-,0.2%,-,-,-,NYCHA,Citywide,Annual
HHW,Pharmaceuticals,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
HHW,Other Potentially Harmful Wastes,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
Paper,Newspaper,Designated Paper,0.2%,0.1%,0.3%,0.8%,0.1%,Schools,Citywide,Annual
Paper,Plain OCC/Kraft Paper,Designated Paper,12.3%,3.2%,4.4%,63.2%,2.0%,Schools,Citywide,Annual
Paper,High Grade Paper,Designated Paper,1.9%,1.8%,0.1%,4.2%,1.1%,Schools,Citywide,Annual
Paper,Mixed Low Grade Paper,Designated Paper,7.4%,9.1%,2.5%,9.8%,2.7%,Schools,Citywide,Annual
Paper,Compostable: Containers & Packaging,Organics Suitable for Composting,6.0%,5.8%,1.6%,0.5%,10.9%,Schools,Citywide,Annual
Paper,Compostable: Other Soiled Paper/Waxed OCC/Kraft,Organics Suitable for Composting,9.2%,12.2%,3.2%,2.3%,8.0%,Schools,Citywide,Annual
Paper,Other Non-recyclable Paper,Other (Non-Divertable),1.9%,2.2%,1.1%,1.6%,1.4%,Schools,Citywide,Annual
Paper,Beverage Cartons & Aseptic Boxes,Designated MGP,1.9%,1.9%,5.5%,0.2%,2.3%,Schools,Citywide,Annual
Paper,Shredded Paper,Designated Paper,0.5%,0.2%,0.1%,2.3%,0.0%,Schools,Citywide,Annual
Plastic,#1 PET Bottles - Clear & Green,Designated MGP,1.4%,1.9%,2.5%,0.5%,0.7%,Schools,Citywide,Annual
Plastic,#1 PET Bottles - All Other Colors,Designated MGP,0.0%,0.0%,0.1%,0.0%,0.0%,Schools,Citywide,Annual
Plastic,#2 HDPE Natural Bottles,Designated MGP,0.2%,0.2%,2.0%,0.0%,0.1%,Schools,Citywide,Annual
Plastic,#2 HDPE Colored Bottles,Designated MGP,0.1%,0.1%,0.7%,0.1%,0.1%,Schools,Citywide,Annual
Plastic,#3-#7 & Unlabeled Bottles,Designated MGP,0.0%,0.0%,0.1%,0.0%,0.0%,Schools,Citywide,Annual
Plastic,Thermoforms,Designated MGP,1.0%,0.9%,3.5%,0.2%,1.3%,Schools,Citywide,Annual
Plastic,Other PVC,Designated MGP,0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Plastic,Tubs & Lids,Designated MGP,0.6%,0.6%,0.8%,0.1%,0.9%,Schools,Citywide,Annual
Plastic,#6 Expanded Polystyrene Containers & Packaging (EPS),Other (Non-Divertable),0.0%,0.0%,0.0%,0.1%,0.0%,Schools,Citywide,Annual
Plastic,#1-#7 Other Rigid Containers/Packaging,Designated MGP,0.2%,0.2%,0.3%,0.7%,0.1%,Schools,Citywide,Annual
Plastic,Film: Retail Bags & Sleeves,Other (Non-Divertable),0.5%,0.6%,0.1%,0.0%,0.4%,Schools,Citywide,Annual
Plastic,Film: Garbage Bags,Other (Non-Divertable),5.2%,6.0%,6.6%,2.2%,4.9%,Schools,Citywide,Annual
Plastic,Film: Non-Woven Reusable Plastic Bags,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Plastic,Film: Pouches,Other (Non-Divertable),0.1%,0.1%,0.2%,0.0%,0.2%,Schools,Citywide,Annual
Plastic,Film: Oversize Items,Other (Non-Divertable),0.2%,0.2%,0.0%,0.1%,0.0%,Schools,Citywide,Annual
Plastic,Film: Other #2/#4 Polyethylene Bags,Other (Non-Divertable),0.3%,0.3%,0.3%,0.0%,0.5%,Schools,Citywide,Annual
Plastic,Film: Other Non-Polyethylene/ Contaminated,Other (Non-Divertable),1.7%,1.9%,0.6%,0.5%,2.3%,Schools,Citywide,Annual
Plastic,Film: DSNY Compostable Plastic Bags,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Plastic,Single-Use Plastics,Designated MGP,1.1%,1.3%,1.2%,0.2%,1.3%,Schools,Citywide,Annual
Plastic,Appliances: Plastic,Designated MGP,0.0%,0.0%,0.1%,0.0%,0.0%,Schools,Citywide,Annual
Plastic,Bulk/Rigid: Plastic,Designated MGP,0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Plastic,Bulk/Rigid: Plastic Toys/ Housewares,Designated MGP,0.1%,0.0%,0.9%,0.4%,0.0%,Schools,Citywide,Annual
Plastic,Bulk/Rigid: Other Durable,Designated MGP,0.1%,0.1%,0.5%,0.1%,0.0%,Schools,Citywide,Annual
Plastic,Other Plastics Materials not Elsewhere Classified,Designated MGP,0.4%,0.5%,0.5%,0.3%,0.4%,Schools,Citywide,Annual
Glass,Clear Container Glass,Designated MGP,0.4%,0.5%,1.2%,0.2%,0.1%,Schools,Citywide,Annual
Glass,Green Container Glass,Designated MGP,0.1%,0.1%,0.3%,0.1%,0.0%,Schools,Citywide,Annual
Glass,Brown Container Glass,Designated MGP,0.1%,0.1%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Glass,Other Color Container Glass,Designated MGP,0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Glass,Mixed Cullet,Designated MGP,0.1%,0.2%,0.2%,0.1%,0.0%,Schools,Citywide,Annual
Glass,Other Glass,Designated MGP,0.1%,0.1%,0.1%,0.1%,0.0%,Schools,Citywide,Annual
Metal,Aluminum Cans & Bottles,Designated MGP,0.2%,0.2%,0.2%,0.1%,0.1%,Schools,Citywide,Annual
Metal,Aluminum Foil/Containers,Designated MGP,1.0%,1.2%,4.0%,0.1%,0.6%,Schools,Citywide,Annual
Metal,Other Aluminum,Designated MGP,0.0%,0.1%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Metal,Other Non-Ferrous,Designated MGP,0.1%,0.1%,0.6%,0.0%,0.0%,Schools,Citywide,Annual
Metal,Steel/Tin Food Cans,Designated MGP,0.7%,0.2%,12.0%,0.1%,0.1%,Schools,Citywide,Annual
Metal,Empty Aerosol Cans,Designated MGP,0.1%,0.1%,0.1%,0.0%,0.0%,Schools,Citywide,Annual
Metal,Other Ferrous,Designated MGP,0.5%,0.2%,8.0%,0.1%,0.0%,Schools,Citywide,Annual
Metal,Mixed Metals,Designated MGP,0.4%,0.3%,1.0%,1.0%,0.1%,Schools,Citywide,Annual
Metal,Appliances: Ferrous,Designated MGP,0.1%,0.0%,1.8%,0.0%,0.0%,Schools,Citywide,Annual
Metal,Appliances: Non-Ferrous,Designated MGP,0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Organics,Yard Waste,Organics Suitable for Composting,1.7%,2.3%,0.0%,0.0%,1.7%,Schools,Citywide,Annual
Organics,Food: Loose,Organics Suitable for Composting,20.2%,20.7%,12.5%,1.9%,32.3%,Schools,Citywide,Annual
Organics,Food: Intact Packaging,Organics Suitable for Composting,6.0%,4.3%,8.5%,1.0%,12.6%,Schools,Citywide,Annual
Organics,Food: Open Packaging,Organics Suitable for Composting,4.6%,5.5%,3.8%,1.3%,4.9%,Schools,Citywide,Annual
Organics,Food: Liquid,Organics Suitable for Composting,1.5%,1.9%,1.9%,0.5%,0.8%,Schools,Citywide,Annual
Organics,Non-C&D Wood,Other (Non-Divertable),0.4%,0.5%,0.4%,0.2%,0.1%,Schools,Citywide,Annual
Organics,Textiles: Non-Clothing,Textiles,0.6%,0.8%,0.3%,0.3%,0.3%,Schools,Citywide,Annual
Organics,Textiles: Woven Bags,Textiles,0.1%,0.1%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Organics,Textiles: Clothing - Stretchy Fabric,Textiles,0.2%,0.3%,0.2%,0.0%,0.2%,Schools,Citywide,Annual
Organics,Textiles: Clothing - Non-Stretchy,Textiles,0.3%,0.6%,0.1%,0.0%,0.0%,Schools,Citywide,Annual
Organics,Shoes/Rubber/Leather,Textiles,0.4%,0.5%,0.4%,0.1%,0.4%,Schools,Citywide,Annual
Organics,Carpet/ Upholstery: Broadloom Carpet,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Organics,Carpet/ Upholstery: Tile Carpet,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Organics,Carpet/ Upholstery: Other Carpet,Other (Non-Divertable),0.1%,0.2%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Organics,Carpet/ Upholstery: Spring Mattresses And Boxsprings,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Organics,Carpet/ Upholstery: Other Upholtery,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Organics,Disposable Diapers & Sanitary Products,Other (Non-Divertable),0.8%,1.3%,0.2%,0.3%,0.1%,Schools,Citywide,Annual
Organics,Animal By-Products,Other (Non-Divertable),0.3%,0.3%,0.0%,0.0%,0.4%,Schools,Citywide,Annual
Organics,Garden Hoses,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Organics,Fines,Other (Non-Divertable),2.5%,3.0%,1.8%,0.5%,2.9%,Schools,Citywide,Annual
Organics,Miscellaneous Organics,Other (Non-Divertable),0.3%,0.4%,0.0%,0.0%,0.2%,Schools,Citywide,Annual
Electronics,Audio/Visual Equipment (TV Peripherals - Covered),E-Waste,0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Electronics,Audio/Visual Equipment (Non-Covered),E-Waste,0.2%,0.3%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Electronics,Computer Monitors,E-Waste,0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
Electronics,Televisions,E-Waste,0.0%,0.0%,0.0%,0.0%,0.0%,Schools,Citywide,Annual
